"文件名","标题","作者","期刊名","年份","卷号","期号","页码","DOI","关键词","摘要"
"Heterobimetallic and Heteroleptic Supramolecular Equilateral Triangle - Chem Commun - 2008 - Schmittel and Mahata.pdf","Clean formation and dynamic exchange reactions of a supramolecular equilateral triangle that is both heterometallic and heteroleptic","Michael Schmittel, Kingsuk Mahata","Chemical Communications","2008","-","22","2550-2552","10.1039/B801462K","supramolecular triangle, heterobimetallic, heteroleptic, HETPHEN concept, self-assembly, copper(I), silver(I), phenanthroline, dynamic exchange","本文阐述了一种既是异双金属又是异配体的等边三角形超分子结构的自组装，及其金属交换为均金属三角形以及进一步的配体交换反应。该策略依赖于两个概念的结合：(a) HETPHEN概念，导致异配体聚集体的形成；(b) PHENLOCK概念，提供动力学稳定的铜(I)配合物作为角单元。异金属三角形T1（含Cu和Ag）可通过金属交换转化为均金属三角形T2（含Cu），进一步通过配体交换证实了组装体的动态本质。ESI-MS、1H NMR和UV-Vis光谱证实了三角形的专一形成。"
"Hexagon Wreaths Self-Assembly of Fractal Architectures Multitopic Terpyridine - J Am Chem Soc - Vol136 - 2014 - Jiang et al.pdf","Hexagon Wreaths: Self-Assembly of Discrete Supramolecular Fractal Architectures Using Multitopic Terpyridine Ligands","Ming Wang, Chao Wang, Xin-Qi Hao, Jingjing Liu, Xiaohong Li, Chenglong Xu, Alberto Lopez, Luyi Sun, Mao-Ping Song, Hai-Bo Yang, Xiaopeng Li","Journal of the American Chemical Society","2014","136","18","6664–6671","10.1021/ja501417g","terpyridine, self-assembly, fractal architecture, hexagon wreath, coordination-driven self-assembly, multitopic ligands, metallo-macrocycles, TWIM-MS","In this study, we overcame a challenge in conventional self-assembly of macrocycles that uses ditopic 2,2':6',2''-terpyridine (tpy) building blocks with a 120 degree angle between two ligating moieties, which generally produces a mixture of multiple macrocycles instead of a single hexagon. Two supramolecular hexagon wreaths, [Zn9LA6] and [Zn12LB6], were designed and self-assembled from tritopic and tetratopic tpy ligands with Zn(II) ions, respectively. These multitopic ligands, bearing multiple binding sites, increased the total density of coordination sites and provided high geometric constraints to induce the formation of discrete structures. Such hexagon wreaths, which were constructed by simple recursion of small hexagons around a central hexagon, exhibit fractal geometry features with self-similarity at different levels. The shapes, sizes, and structures were fully characterized by NMR, ESI-MS, traveling-wave ion mobility mass spectrometry (TWIM-MS), and transmission electron microscopy. With diameters around 5.5 nm for [Zn9LA6] and 5.8 nm for [Zn12LB6], the remarkable rigidity of these fractal architectures was supported by TWIM-MS, in contrast to the high flexibility of macrocycles assembled by ditopic tpy ligands."
"Hierarchical Self-Assembly of Organoplatinum(II) Metallacycle-TMV Complexes - J Am Chem Soc - Vol138 - 2016 - Tian et al.pdf","Hierarchical Self-Assembly of Responsive Organoplatinum(II) Metallacycle–TMV Complexes with Turn-On Fluorescence","Ye Tian, Xuzhou Yan, Manik Lal Saha, Zhongwei Niu, Peter J. Stang","Journal of the American Chemical Society","2016","138","37","12033-12036","10.1021/jacs.6b07402","hierarchical self-assembly, tobacco mosaic virus, organoplatinum metallacycle, turn-on fluorescence, aggregation-induced emission, biohybrid materials, electrostatic interactions, tetraphenylethylene","The rod-like tobacco mosaic virus (TMV), having a negatively charged surface, can be assembled into three-dimensional micrometer-sized bundle-like superstructures via multiple electrostatic interactions with a positively charged molecular glue, namely, a tetraphenylethylene (TPE)-based discrete organoplatinum(II) metallacycle (TPE-Pt-MC). Due to the nanoconfinement effect in the resultant TMV/TPE-Pt-MC complexes and the aggregation-induced emission (AIE) activity of the TPE units, these hierarchical architectures result in a dramatic fluorescence enhancement that not only provides evidence for the formation of novel metal-organic biohybrid materials but also represents an alternative to turn-on fluorescence. The dissociation of these final constructs and subsequent release of individual virus have been achieved by disrupting the TPE-Pt-MC core using tetrabutylammonium bromide (TBAB)."
"Hierarchical Self-Assembly of Organoplatinum(II) Metallacycle-TMV Complexes - J Am Chem Soc - Vol138 - 2016 - Tian et al.pdf","Hierarchical self-assembly of triangular metallodendrimers into the ordered nanostructures","Bo Jiang, Li-Jun Chen, Ying Zhang, Hong-Wei Tan, Lin Xu, Hai-Bo Yang","Chinese Chemical Letters","2016","27","4","607-612","10.1016/j.cclet.2016.03.017","metallodendrimers, triangular metallacycles, coordination-driven self-assembly, hierarchical self-assembly, nanostructures, pi-pi stacking, poly(benzyl ether) dendrons","Two discrete peripherally dimethyl isophthalate (DMIP) functionalized poly(benzyl ether) metallodendrimers featuring a well-defined triangular cavity at their cores were successfully synthesized via coordination-driven self-assembly. The dendron generation played an important role in hierarchical self-assembly behaviors of the obtained triangular metallodendrimers. The first-generation metallodendrimer was able to hierarchically self-assemble into spherical nanostructures in various mixed solvents. However, nanofibers were observed for the second-generation metallodendrimer under similar conditions. The 1H NMR and fluorescence spectroscopy studies revealed that the formation of ordered nanostructures was mainly driven by intermolecular pi-pi stacking interaction imposed by the poly(benzyl ether) dendrons."
"Highly Stable Spherical Metallo-Capsule from Hexapodal Terpyridine - J Am Chem Soc - Vol140 - 2018 - Chen et al.pdf","Highly Stable Spherical Metallo-Capsule from a Branched Hexapodal Terpyridine and Its Self-Assembled Berry-type Nanostructure","Mingzhao Chen, Jun Wang, Die Liu, Zhilong Jiang, Qianqian Liu, Tun Wu, Haisheng Liu, Weidong Yu, Jun Yan, Pingshan Wang","Journal of the American Chemical Society","2018","140","7","2555–2561","10.1021/jacs.7b10707","terpyridine, metallo-capsule, nanosphere, hexapodal ligand, self-assembly, Berry-type nanostructure, host-guest chemistry, coordination-driven self-assembly","Discrete spherical metallo-organic capsules at the nanometer scale, especially those constructed from unique building blocks, have received significant attention recently because of their fascinating molecular aesthetics and potential applications due to their compact cavities. Here, the synthesis and characterization of a hexapodal, branched terpyridine ligand are presented along with the nearly quantitative self-assembly of the resulting tetrameric metallo-nanosphere. This metallo-nanosphere exhibited four quasi-triangular and six rhombus-like facets, all of which were made by the same hook-like bis-terpyridine. Collision-induced dissociation experiments were done to investigate overall stability. The metallo-architecture and host-guest chemistry were investigated with coronene and fully characterized by 1D and 2D NMR, ESI-MS, and transmission electron microscopy. Furthermore, this metallo-nanosphere was observed to hierarchically self-assemble into berry-type structures in an acetonitrile/methanol mixture, by virtue of counterion-mediated attractions. The functional molecular metallo-nanosphere presented here expands the reach of terpyridine coordination systems into molecular containers and other model systems."
"Intra- and Intermolecular Self-Assembly of 20nm Supramolecular Hexagonal Grid - Nat Chem - Vol12 - 2020 - Zhang et al.pdf","Intra- and Intermolecular Self-Assembly of a 20-nm-wide Supramolecular Hexagonal Grid","Zhe Zhang, Yiming Li, Bo Song, Yao Zhang, Xin Jiang, Ming Wang, Ryan Tumbleson, Chong Liu, Pingshan Wang, Xin-Qi Hao, Tomas Rojas, Anh T. Ngo, Jonathan L. Sessler, George R. Newkome, Saw Wai Hla, Xiaopeng Li","Nature Chemistry","2020","12","5","468–474","10.1038/s41557-020-0454-z","supramolecular chemistry, self-assembly, hexagonal grid, coordination-driven, terpyridine, scanning tunneling microscopy, metallo-supramolecules, intramolecular folding, intermolecular assembly","The spontaneous self-assembly of multiple distinct building blocks is ubiquitous in nature and underlies the biosynthesis of numerous functional proteins and protein complexes. Inspired by the precision of nature, supramolecular chemists have exploited the highly directional and predictable features of metal coordination to construct an impressive variety of metallo-supramolecular structures. However, bottom-up approaches have mainly given rise to either discrete assemblies smaller than 10 nm or infinite coordination-based polymers. Meso-sized (10-100 nm) discrete architectures with specific sizes and shapes are rare. Here we describe discrete two-dimensional ensembles in the 20-nm-size domain produced by coordination-driven self-assembly, combining intra- and intermolecular self-assembly to prepare a 20-nm-wide metallo-supramolecular hexagonal grid with its eight isomers based on different substructure orientations. The initial intramolecular self-assembly process, reminiscent of the folding process of peptides or proteins, occurs on complexation with Fe2+ metal ions, followed by subsequent intermolecular self-assembly governed by coordination with additional Fe2+ ions. The hexagonal grid was characterized by ESI-MS, TWIM-MS, NMR spectroscopy, and scanning tunneling microscopy at submolecular resolution."
"Introducing Seven Transition Metal Ions into Terpyridine Supramolecules - J Am Chem Soc - Vol142 - 2020 - Wang et al.pdf","Introducing Seven Transition Metal Ions into Terpyridine-Based Supramolecules: Self-Assembly and Dynamic Ligand Exchange Study","Lei Wang, Bo Song, Sandra Khalife, Yiming Li, Li-June Ming, Shi Bai, Yaping Xu, Hao Yu, Ming Wang, Heng Wang, Xiaopeng Li","Journal of the American Chemical Society","2020","142","4","1811–1821","10.1021/jacs.9b09497","terpyridine, transition metal ions, self-assembly, coordination-driven, dynamic ligand exchange, supramolecular fractals, mass spectrometry, metal-dependent stability","In coordination-driven self-assembly, 2,2':6',2''-terpyridine (tpy) has gained extensive attention in constructing supramolecular architectures on the basis of tpy-M-tpy connectivity. In direct self-assembly of large discrete structures, however, the metal ions were mainly limited to Cd(II), Zn(II), and Fe(II) ions. Herein, we significantly broaden the spectrum of metal ions with seven divalent transition metal ions M(II) (M = Mn, Fe, Co, Ni, Cu, Zn, Cd) to assemble a series of supramolecular fractals. In particular, Mn(II), Co(II), Ni(II), and Cu(II) were reported for the first time to form such large and discrete structures with tpy-M-tpy connectivity. In addition, the structural stabilities of those supramolecules in the gas phase and the kinetics of the ligand exchange process in solution were investigated using mass spectrometry. Such a fundamental study gave the relative order of structural stability in the gas phase and revealed the inertness of coordination in solution depending on the metal ions. Those results would guide the future study in tpy-based supramolecular chemistry in terms of self-assembly, characterization, property, and application."
"Isostructural Coordination Capsules for 10 Different d5-d10 Transition-Metal Ions - Angew Chem Int Ed - Vol45 - 2006 - Hiraoka et al.pdf","Isostructural Coordination Capsules for a Series of 10 Different d5–d10 Transition-Metal Ions","Shuichi Hiraoka, Koji Harano, Motoo Shiro, Yoshiki Ozawa, Nobuhiro Yasuda, Koshiro Toriumi, Mitsuhiko Shionoya","Angewandte Chemie International Edition","2006","45","39","6488-6491","10.1002/anie.200601431","coordination capsules, self-assembly, transition-metal ions, tris-monodentate ligand, hexaphenylbenzene, octahedron-shaped, isostructural, molecular capsules","A novel disk-shaped tris-monodentate ligand comprising a central hexaphenylbenzene core forms 10 structurally equivalent coordination capsules [M6(1)8]12+ with a series of divalent d5-d10 transition-metal ions (M = Mn, Fe, Co, Ni, Pd, Pt, Cu, Zn, Cd, and Hg) through self-assembly protocols. X-ray structural analysis of a single crystal of [Hg6(1)8(CF3SO3)12] revealed a 3-nm-sized octahedron-shaped capsule structure with sides of 1.8 nm in length. The inner volume was estimated to be approximately 2700 A3. The inner space of the capsule was successfully decorated with other anionic ligands as a result of site-selective replacement of the CF3SO3- ligands coordinated from inside the capsule."
"Kinetically Stabilized Metalla-Supramolecular Rectangles - J Am Chem Soc - Vol123 - 2001 - Kuehl and Stang.pdf","Self-Assembly with Postmodification: Kinetically Stabilized Metalla-Supramolecular Rectangles","Christopher J. Kuehl, Songping D. Huang, Peter J. Stang","Journal of the American Chemical Society","2001","123","39","9634-9641","10.1021/ja0114355","self-assembly, molecular rectangles, molecular clip, platinum coordination, postmodification, counterion exchange, kinetic stability, metallacyclophanes","Interaction of a predesigned molecular clip with rigid dipyridyl bridging ligands, in acetone/water mixtures, leads to the formation of molecular rectangles in 92-97% isolated yields via spontaneous self-assembly. Characterization was accomplished with multinuclear NMR and UV-vis spectroscopy, FAB mass spectrometry, and X-ray crystallography. The length of these metallamacrocycles ranges from 2 to 3 nm. Postmodification via non-nucleophilic counterion exchange results in enhanced structural integrity for the assemblies."
"Light-Controlled Interconversion between a Self-Assembled Triangle and Rhombicuboctahedron - Angew Chem Int Ed - Vol55 - 2016 - Han et al.pdf","Light-Controlled Interconversion between a Self-Assembled Triangle and a Rhombicuboctahedral Sphere","Muxin Han, Yuansu Luo, Bernd Damaschke, Laura Gomez, Xavi Ribas, Anex Jose, Patrick Peretzki, Michael Seibt, Guido H. Clever","Angewandte Chemie International Edition","2016","55","1","445-449","10.1002/anie.201508307","self-assembly, coordination cage, dithienylethene, photoswitch, light-responsive, Pd3L6, Pd24L48, rhombicuboctahedron, structural interconversion, supramolecular chemistry","Stimuli-responsive structural reorganizations play an important role in biological processes, often in combination with kinetic control scenarios. Here, the light-driven structural rearrangement of a small, self-assembled Pd3L6 ring based on photochromic dithienylethene (DTE) ligands into a rhombicuboctahedral Pd24L48 sphere measuring about 6.4 nm across is reported. When the wavelength is changed, this interconversion can be fully reversed, as confirmed by NMR and UV/Vis spectroscopy as well as mass spectrometry. The sphere was visualized by AFM, TEM, and GISAXS measurements. Due to dissimilarities in the photoswitch conformations, the interconversion rates between the two assemblies are drastically different in the two directions."
"Macromolecular Rapid Communications - 2022 - Yu - Terpyridine‐Based 3D Discrete Metallosupramolecular Architectures.pdf","Terpyridine-Based 3D Discrete Metallosupramolecular Architectures","Xiujun Yu, Chenxing Guo, Shuai Lu, Zhi Chen, Heng Wang, Xiaopeng Li","Macromolecular Rapid Communications","2022","43","14","2200004","10.1002/marc.202200004","terpyridine, 3D metallosupramolecular architectures, coordination-driven self-assembly, polyhedra, Platonic solids, Archimedean solids, Johnson solids","Terpyridine (tpy)-based 3D discrete metallosupramolecular architectures, which are often inspired by polyhedral geometry and the biological structures found in nature, have drawn significant attention from the community of metallosupramolecular chemistry. Because of the linear tpy–M(II)–tpy connectivity, the creation of sophisticated 3D metallosupramolecules based on tpy remains a formidable synthetic challenge. Nevertheless, with recent advancement in ligand design and self-assembly, diverse 3D metallosupramolecular polyhedrons, such as Platonic solids, Archimedean solids, prisms as well as Johnson solids, have been constructed and their potential applications have been explored. This review summarizes the progress on tpy-based discrete 3D metallosupramolecules, aiming to shed more light on the design and construction of novel discrete architectures with molecular-level precision through coordination-driven self-assembly."
"Manipulation of Discrete Nanostructures via Noncovalent Forces - Science - Vol344 - 2014 - Fukino et al.pdf","Manipulation of Discrete Nanostructures by Selective Modulation of Noncovalent Forces","Takahiro Fukino, Hyunho Joo, Yuki Hisada, Maiko Obana, Hiroshi Yamagishi, Takaaki Hikima, Masaki Takata, Norifumi Fujita, Takuzo Aida","Science","2014","344","6183","499-504","10.1126/science.1252120","ferrocene, nanotubes, nanorings, self-assembly, noncovalent forces, metal-organic, AgBF4, redox, pyridyl ligand, structural manipulation","Covalent organic synthesis commonly uses the strategy of selective bond cleavage and formation. If a similar approach can be applied stepwisely to noncovalent synthesis, more exotic or challenging nanostructures might become achievable. Here, ferrocene-based tetratopic pyridyl ligands, which can dynamically change their geometry by means of thermal rotation of their cyclopentadienyl rings in solution, assemble with AgBF4 into discrete metal-organic nanotubes with large and uniform diameters. The nanotubes can be cut into metal-organic nanorings through selective attenuation of the inter-nanoring interaction via ferrocene oxidation. The resultant nanorings can be transferred onto inorganic substrates electrostatically or allowed to reassemble to form the original nanotube by the reductive neutralization of their oxidized ferrocene units."
"Metallamacrocycles via Dinuclear Acceptor and Sensing - Inorg Chem - Vol50 - 2011 - Shanmugaraju et al.pdf","Self-Assembly of Metallamacrocycles Using a Dinuclear Organometallic Acceptor: Synthesis, Characterization, and Sensing Study","Sankarasekaran Shanmugaraju, Sachin A. Joshi, Partha Sarathi Mukherjee","Inorganic Chemistry","2011","50","22","11736-11745","10.1021/ic201745y","metallamacrocycle, self-assembly, dinuclear acceptor, Pt(II), coordination-driven, molecular rectangle, fluorescence sensing, picric acid, nitroaromatic, ethynyl functionality","A new Pt2(II) organometallic 180 degree acceptor 4,4'-bis[trans-Pt(PEt3)2(O3SCF3)(ethynyl)]biphenyl and its [2+2] self-assembly with three different ditopic clip-type donors to afford rectangular metallamacrocycles are reported. The anthracene-functionalized extended pi-conjugated macrocycle was tested as a fluorescent sensor for electron-deficient nitroaromatics such as picric acid (PA), showing marked quenching of initial fluorescence intensity upon gradual addition of picric acid with a detection limit at the parts per billion level in solution."
"Metallo-Supramolecular Self-Assembly of Multicomponent Ditrigon Complementary Terpyridine - J Am Chem Soc - Vol138 - 2016 - Wang et al.pdf","Metallo-Supramolecular Self-Assembly of a Multicomponent Ditrigon Based on Complementary Terpyridine Ligand Pairing","Shih-Yu Wang, Jun-Hao Fu, Yen-Peng Liang, Yun-Jui He, Yu-Sheng Chen, Yi-Tsu Chan","Journal of the American Chemical Society","2016","138","11","3651–3654","10.1021/jacs.6b01005","terpyridine, complementary ligand pairing, heteroleptic complex, self-assembly, ditrigon, multicomponent, self-selective ligation, coordination-driven self-assembly","Predesigned complementary complexation of two 2,2':6',2''-terpyridine-based ligands was established by installing 2,6-dimethoxyphenyl substituents at the terpyridyl 6,6''-positions, which provided ancillary ion-dipole interactions in the coordination process and extra pi-stacking stabilization in the resultant heteroleptic complex. The high-fidelity self-recognition ligation afforded facile access to the quantitative self-assembly of multicomponent triangle [Cd6L3(3)L4(3)] and ditrigon [Cd15L3(6)L5(3)] (that is, a hexagon with six 120 degree angles and two alternating edge lengths). It was found that the linear 6,6''-substituted ditopic motif (L3) would be directed by the ligand geometry of L5 to selectively incorporate into the parallel homoleptic connections in the bilayered framework."
"Molecular Architecture via Coordination Nanoscale Pt Hexagons - J Am Chem Soc - Vol119 - 1997 - Stang et al.pdf","Molecular Architecture via Coordination: Self-Assembly of Nanoscale Platinum Containing Molecular Hexagons","Peter J. Stang, Neal E. Persky, Joseph Manna","Journal of the American Chemical Society","1997","119","20","4777-4778","10.1021/ja970537l","molecular hexagon, self-assembly, coordination, platinum, supramolecular chemistry, molecular architecture, nanoscale, bipyridine, Pt(II), macrocycle","The first examples of hitherto unknown molecular hexagons formed via self-assembly using coordination as the motif are reported. A rational design strategy using shape-defining and directing corner units with approximately 120 degree bond angles and appropriate linkers results in the formation of cationic molecular hexagons. Both hexagons are remarkably stable, soluble solids with molecular weights of approximately 12433 Da. Force field calculations indicate the molecule resembles an ellipsoid or doughnut with a circular cavity with an external diameter of approximately 5 nm and an internal diameter of approximately 3 nm."
"Multicomponent Reassembly of Terpyridine-Based Materials Metallomacrocyclic Rearrangement - Chem Commun - Vol51 - 2015 - Sarkar et al.pdf","Multicomponent Reassembly of Terpyridine-Based Materials: Quantitative Metallomacrocyclic Rearrangement","Rajarshi Sarkar, Zaihong Guo, Jingyi Li, Tarak N. Burai, Charles Moorefield, Chrys Wesdemiotis, George R. Newkome","Chemical Communications","2015","51","70","12851-12854","10.1039/C5CC05048K","三联吡啶 (Terpyridine), 金属大环 (Metallomacrocycle), 多组分重组装 (Multicomponent reassembly), 超分子三角形 (Supramolecular triangle), 异核配合物 (Heteronuclear complex), 配位驱动自组装 (Coordination-driven self-assembly)","将金属环状三聚体和四聚体以精确的1:1.5化学计量比混合，定量产生新的超分子三角形。通过1H、2D-COSY、2D-NOESY和13C NMR光谱学以及ESI和TWIM质谱对新的异核金属大环进行了表征。梯度串联质谱（gMS2）为双核结构的稳定性提供了深入了解。"
"Multicomponent Self-Assembly of Macrocycles and Cages Dynamic Heteroleptic - Chem Eur J - Vol24 - 2018 - Wang et al.pdf","Multicomponent Self-Assembly of Metallo-Supramolecular Macrocycles and Cages through Dynamic Heteroleptic Terpyridine Complexation","Shih-Yu Wang, Jyun-Yang Huang, Yen-Peng Liang, Yun-Jui He, Yu-Sheng Chen, Yi-Yang Zhan, Shuichi Hiraoka, Yi-Hung Liu, Shie-Ming Peng, Yi-Tsu Chan","Chemistry - A European Journal","2018","24","37","9274-9284","10.1002/chem.201801753","异配体配合 (Heteroleptic complexation), 多组分自组装 (Multicomponent self-assembly), 金属超分子大环 (Metallo-supramolecular macrocycles), 金属笼 (Metallocages), 三联吡啶 (Terpyridine), 自分选 (Self-sorting), Cd(II)配合物","通过6,6''-二(2,6-二甲氧基苯基)取代的三联吡啶配体与未取代三联吡啶配体的组合，在室温条件下实现了异配体镉(II)双(三联吡啶)配合物的自发形成。基于这种动态异配体配合，从预设的多组分体系中以定量产率组装了多种金属超分子大环和笼。互补配体配对增强了自识别能力，促进了四组分动态库的形状依赖性自分选，形成两个明确定义的平行四边形。此外，同配体和异配体配合物之间微妙的动力学差异导致了Sierpinski三角形中位点选择性的CdII-ZnII跨金属化。还利用两种自识别的三价构建块实现了十二核四面体金属笼的简便构建。"
"Nanoassembly of a Fractal Polymer Molecular Sierpinski Hexagonal Gasket - Science - Vol312 - 2006 - Newkome et al.pdf","Nanoassembly of a Fractal Polymer: A Molecular ""Sierpinski Hexagonal Gasket""","George R. Newkome, Pingshan Wang, Charles N. Moorefield, Tae Joon Cho, Prabhu P. Mohapatra, Sinan Li, Seok-Ho Hwang, Olena Lukoyanova, Luis Echegoyen, Judith A. Palagallo, Vince Ber, Eduardo F. Durber","Science","2006","312","5781","1782-1785","10.1126/science.1125894","分形聚合物 (Fractal polymer), Sierpinski六角垫片 (Sierpinski hexagonal gasket), 纳米组装 (Nanoassembly), 三联吡啶 (Terpyridine), 自组装 (Self-assembly), 非树枝状分形 (Nondendritic fractal), 大卫之星 (Star of David)","利用分子自组装创建了合成的、纳米尺度的Sierpinski六角垫片。这种非树枝状的、完美自相似的分形大分子由双三联吡啶构建块组成，通过与36个Ru和6个Fe离子的配位结合在一起，形成了围绕空心中心的逐渐增大的六角形近平面阵列。"
"Neutral Cationic and Anionic PdII Organic Macrocyclic Complexes Nitroaromatic Sensing - Dalton Trans - Vol40 - 2011 - Bar et al.pdf","Self-assembly of neutral and cationic Pd(II) organometallic molecular rectangles: synthesis, characterization and nitroaromatic sensing","Arun Kumar Bar, Sankarasekaran Shanmugaraju, Ki-Whan Chi, Partha Sarathi Mukherjee","Dalton Transactions","2011","40","10","2257-2267","10.1039/C0DT01048K","molecular rectangle, self-assembly, Pd(II), coordination-driven, neutral complex, cationic complex, nitroaromatic sensing, fluorescence quenching, Pd-ethynyl, picric acid","Design and synthesis of three novel [2+2] self-assembled molecular rectangles via coordination driven self-assembly of predesigned Pd(II) ligands is reported. 1,8-Diethynylanthracene was assembled with trans-Pd(PEt3)2Cl2 in the presence of CuCl catalyst to yield a neutral rectangle via Pd-C bond formation, representing the first example of a neutral molecular rectangle obtained via C-Pd coordination driven self-assembly. A new Pd2(II) organometallic building block with 180 degree bite-angle containing ethynyl functionality was synthesized. Incorporation of Pd-ethynyl bonds helped to make the assemblies pi-electron rich and fluorescent in nature. Complexes showed quenching of fluorescence intensity in solution in presence of nitroaromatics."
"One-Pot Self-Assembly of Stellated Metallosupramolecules - J Am Chem Soc - Vol141 - 2019 - Fu et al.pdf","One-Pot Self-Assembly of Stellated Metallosupramolecules from Multivalent and Complementary Terpyridine-Based Ligands","Jun-Hao Fu, Shih-Yu Wang, Yu-Sheng Chen, Soumyakanta Prusty, Yi-Tsu Chan","Journal of the American Chemical Society","2019","141","41","16217-16221","10.1021/jacs.9b08731","星形金属超分子 (Stellated metallosupramolecules), 一锅法自组装 (One-pot self-assembly), 互补配体配对 (Complementary ligand pairing), 多价配体 (Multivalent ligands), 三联吡啶 (Terpyridine), 异配体配合 (Heteroleptic complexation), 整合性自分选 (Integrative self-sorting)","通过三组分整合性自分选组装了一系列星形金属超分子结构。基于互补配体配对，最初尝试从X形四(三联吡啶)配体和V形双(三联吡啶)配体与CdII离子的组合合成六角星配合物，结果产生了前所未有的八核和十二核星形金属笼混合物，并通过柱色谱进一步分离。为克服这一意外障碍，将多价配体设计与自发异配体配合相结合，实现了复杂拓扑结构的一锅法合成。中心定位的三角形作为支撑物，定量形成了六角星形配合物。值得注意的是，在没有三角形支撑物的情况下，产生了四角星形配合物。"
"One-Step Multicomponent Self-Assembly of First-Generation Sierpinski Triangle - Angew Chem Int Ed - Vol53 - 2014 - Sarkar et al.pdf","One-Step Multicomponent Self-Assembly of a First-Generation Sierpinski Triangle: From Fractal Design to Chemical Reality","Rajarshi Sarkar, Kai Guo, Charles N. Moorefield, Mary Jane Saunders, Chrys Wesdemiotis, George R. Newkome","Angewandte Chemie International Edition","2014","53","45","12182-12185","10.1002/anie.201407285","terpyridine, self-assembly, Sierpinski triangle, fractal, cadmium, multicomponent assembly, metallosupramolecular chemistry","A novel terpyridine-based architecture that mimics a first-generation Sierpinski triangle has been synthesized by multicomponent assembly and features tpy-Cd(II)-tpy connectivity (tpy = terpyridine). The key terpyridine ligands were synthesized by the Suzuki cross-coupling reaction. Mixing two different terpyridine-based ligands and Cd(II) in a precise stoichiometric ratio (1:1:3) produced the desired fractal architecture in near-quantitative yield. Characterization was accomplished by NMR spectroscopy, mass spectrometry, and transmission electron microscopy."
"One Ligand in Dual Roles Self-Assembly of Bis-Rhomboidal 3D Molecular Wheel - Chem Eur J - Vol20 - 2014 - Lu et al.pdf","One Ligand in Dual Roles: Self-Assembly of a Bis-Rhomboidal-Shaped, Three-Dimensional Molecular Wheel","Xiaocun Lu, Xiaopeng Li, Kai Guo, Jing Wang, Mingjun Huang, Jin-Liang Wang, Ting-Zheng Xie, Charles N. Moorefield, Stephen Z. D. Cheng, Chrys Wesdemiotis, George R. Newkome","Chemistry - A European Journal","2014","20","41","13094-13098","10.1002/chem.201404358","分子轮 (Molecular wheel), 双菱形结构 (Bis-rhomboidal structure), 三维超分子 (3D supramolecule), 三联吡啶 (Terpyridine), 配位驱动自组装 (Coordination-driven self-assembly), 双重角色配体 (Dual-role ligand), Zn(II)配合物","报道了一种简便的高产率自组装过程，生成了基于三联吡啶的三维双菱形分子轮。所需的配位驱动超分子轮涉及八个具有相邻tpy单元之间60°角的结构扭曲的三(三联吡啶)配体和十二个Zn2+离子。tpy配体在自组装过程中扮演双重角色：两个以180°交错排列构成内部轮毂，而六个产生外部轮缘。通过将tpy配体和Zn2+以2:3的化学计量比混合即可生成该分子轮；ESI-MS、NMR光谱学和TEM成像提供了完整的表征。"
"Organoplatinum Building Blocks for Self-Assembly Molecular Squares Rectangles Triangles - J Am Chem Soc - Vol116 - 1994 - Stang and Cao.pdf","Transition Metal Based Cationic Molecular Boxes. Self-Assembly of Macrocyclic Platinum(II) and Palladium(II) Tetranuclear Complexes","Peter J. Stang, Danh H. Cao","Journal of the American Chemical Society","1994","116","11","4981-4982","10.1021/ja00090a051","self-assembly, molecular boxes, macrocyclic complexes, platinum(II), palladium(II), tetranuclear complexes, coordination-driven self-assembly, 4,4'-bipyridine, host-guest chemistry, supramolecular chemistry","本文报道了通过自组装方法制备和表征基于铂(II)和钯(II)的阳离子型四核大环配合物（分子盒子）。将dppp螯合的金属(II)三氟甲磺酸盐与等摩尔量的4,4'-联吡啶在CH2Cl2中室温反应，在几分钟内以优异的产率自组装形成分子方框7（Pt）和8（Pd）。这些阳离子大环四核三氟甲磺酸盐配合物通过元素分析、光谱（31P、19F、1H和13C NMR）和化学方法表征。有趣的是，吡嗪不能形成类似的四核大环物种，仅给出单体产物，这归因于电子和空间因素。初步数据表明，1,3,5-三甲氧基苯与分子盒子之间存在非共价主客体相互作用。"
"Pentameric Circular Iron(II) Double Helicates and Molecular Pentafoil Knot - Nat Chem - Vol4 - 2011 - Ayme and Leigh.pdf","A synthetic molecular pentafoil knot","Jean-Francois Ayme, Jonathon E. Beves, David A. Leigh, Roy T. McBurney, Kari Rissanen, David Schultz","Nature Chemistry","2012","4","1","15-20","10.1038/nchem.1193","pentafoil knot, molecular knot, circular helicate, self-assembly, iron(II), imine bond, chloride template, bipyridine, topological chirality","分子结在DNA和某些蛋白质中是重要的结构特征，并被认为在天然和合成聚合物的物理性质中起重要作用。本文报道了迄今为止最复杂的非DNA分子结的合成：五个双醛和五个双胺构建单元围绕五个金属阳离子和一个氯离子阴离子自组装，形成160原子环的分子五叶结（五个交叉点）。该结的结构和拓扑通过NMR光谱、质谱和X射线晶体学确定，揭示了一个对称的闭环双螺旋体，氯离子通过十个CH...Cl-氢键固定在五叶结中心。一锅自组装反应具有特殊数量的不同设计元素。"
